"","Scientific.Name","x","y"
"8252","Phascolarctos cinereus",20428.773760926,5784262.93932852
"8253","Phascolarctos cinereus",245661.517126817,5741735.65109362
"8254","Phascolarctos cinereus",494162.591279163,5745234.50947283
"8255","Phascolarctos cinereus",398262.005099688,5924534.90745781
"8256","Phascolarctos cinereus",17941.4933573789,5793627.4098468
"8257","Phascolarctos cinereus",476517.674605723,5980391.95178115
"8258","Phascolarctos cinereus",7871.47942246625,5779759.25735454
"8259","Phascolarctos cinereus",405941.467489083,5917988.32075689
"8260","Phascolarctos cinereus",360139.012543477,5885719.45009578
"8261","Phascolarctos cinereus",407062.343892237,5870235.1323117
"8262","Phascolarctos cinereus",20178.212744834,5781682.42731889
"8263","Phascolarctos cinereus",226595.883528323,5716214.48639685
"8264","Phascolarctos cinereus",193129.31930906,5735880.33590581
"8265","Phascolarctos cinereus",-8675.75545719621,5772525.57625677
"8266","Phascolarctos cinereus",374162.107241354,5896235.36882604
"8267","Phascolarctos cinereus",39575.3849780485,5757433.23488454
"8268","Phascolarctos cinereus",343261.935632207,5815435.02649949
"8269","Phascolarctos cinereus",374448.946748512,5902851.09925801
"8270","Phascolarctos cinereus",262862.393418111,5856935.43236172
"8271","Phascolarctos cinereus",264493.988212423,5853343.28348358
"8272","Phascolarctos cinereus",476729.85027911,5777985.75118373
"8273","Phascolarctos cinereus",410462.572988826,5918034.8866576
"8274","Phascolarctos cinereus",457462.586712691,5753034.74358294
"8275","Phascolarctos cinereus",15119.454733463,5767162.63500433
"8276","Phascolarctos cinereus",457961.879015674,5757135.21316087
"8277","Phascolarctos cinereus",31503.6447007736,5760890.23627753
"8278","Phascolarctos cinereus",325361.754153416,5751235.38007181
"8279","Phascolarctos cinereus",425962.743430475,5988234.87725263
"8280","Phascolarctos cinereus",487162.461578736,5742135.00682455
"8281","Phascolarctos cinereus",105446.570896494,5901596.73877955
"8282","Phascolarctos cinereus",518662.525974396,5771735.27199458
"8283","Phascolarctos cinereus",258078.586549106,5858468.53426258
"8284","Phascolarctos cinereus",429662.124771221,5699835.30876038
"8285","Phascolarctos cinereus",462829.857399927,5760807.494606
"8286","Phascolarctos cinereus",446327.632028198,5754506.28966444
"8287","Phascolarctos cinereus",582976.247044073,5833610.72124901
"8288","Phascolarctos cinereus",340462.560451802,5822034.76383957
"8289","Phascolarctos cinereus",333562.201075904,5900134.75511817
"8290","Phascolarctos cinereus",-3633.49420227052,5772254.01014472
"8291","Phascolarctos cinereus",242758.089295271,5741937.68742784
"8292","Phascolarctos cinereus",262462.340280675,5853935.33884482
"8294","Phascolarctos cinereus",457216.383704802,5790024.16655176
"8295","Phascolarctos cinereus",36491.5277806961,5752172.39690341
"8296","Phascolarctos cinereus",20161.214745704,5790201.27514513
"8297","Phascolarctos cinereus",231700.674327831,5837010.1862886
"8298","Phascolarctos cinereus",170159.122802956,5869876.9160594
"8299","Phascolarctos cinereus",468062.775445635,5987534.97500657
"8300","Phascolarctos cinereus",262962.186265779,5856635.06774425
"8301","Phascolarctos cinereus",242948.695283188,5880851.2588225
"8302","Phascolarctos cinereus",396850.910510586,5927772.18149798
"8303","Phascolarctos cinereus",289506.919489072,5858668.40189857
"8304","Phascolarctos cinereus",452361.812986106,5752135.15103584
"8305","Phascolarctos cinereus",-13206.5849779568,5774558.53657074
"8306","Phascolarctos cinereus",375849.642808193,5902364.63929943
"8307","Phascolarctos cinereus",205514.446457835,5725861.31139076
"8308","Phascolarctos cinereus",335162.622424502,5900935.26730471
"8309","Phascolarctos cinereus",344762.166115008,5836535.50976814
"8310","Phascolarctos cinereus",427962.004292685,5972435.0435867
"8311","Phascolarctos cinereus",12462.6960403759,5789979.88162032
"8312","Phascolarctos cinereus",238061.851384048,5816035.49322864
"8313","Phascolarctos cinereus",382761.983453159,5922735.81607434
"8314","Phascolarctos cinereus",344661.906026311,5918535.00905517
"8315","Phascolarctos cinereus",199300.047919458,5701102.04881476
"8316","Phascolarctos cinereus",236616.133636988,5728497.07311753
"8317","Phascolarctos cinereus",13815.0913690074,5785688.53233662
"8318","Phascolarctos cinereus",229663.029164761,5809420.84133589
"8319","Phascolarctos cinereus",475362.683142788,5759634.85895336
"8320","Phascolarctos cinereus",427162.674780587,5803834.77254246
"8321","Phascolarctos cinereus",18234.3646988931,5789256.45725743
"8322","Phascolarctos cinereus",427862.049488366,5993035.22236236
"8323","Phascolarctos cinereus",322462.110163625,5753035.09709329
"8324","Phascolarctos cinereus",425738.13444551,5991816.01893409
"8325","Phascolarctos cinereus",19263.6431394164,5760784.74252289
"8326","Phascolarctos cinereus",222614.183564604,5712746.15816252
"8327","Phascolarctos cinereus",382662.482510109,5921735.81029976
"8328","Phascolarctos cinereus",285303.794276644,5868829.15786466
"8329","Phascolarctos cinereus",34364.3427034781,5759772.60775832
"8330","Phascolarctos cinereus",165141.624974846,5870771.96537424
"8331","Phascolarctos cinereus",20789.5865365802,5755673.12004874
"8332","Phascolarctos cinereus",398610.973269459,5921371.38364348
"8333","Phascolarctos cinereus",376411.666982309,6027508.22381521
"8334","Phascolarctos cinereus",461762.665192211,5741935.54204829
"8335","Phascolarctos cinereus",330162.013679538,5744735.37260063
"8336","Phascolarctos cinereus",349862.213640651,5832035.45095814
"8337","Phascolarctos cinereus",285162.538318143,5865935.19453706
"8338","Phascolarctos cinereus",408459.335987854,5922390.48533952
"8339","Phascolarctos cinereus",378755.121219539,5794235.35893989
"8340","Phascolarctos cinereus",348762.48077074,5824134.70919719
"8341","Phascolarctos cinereus",390134.811619582,5803038.10409347
"8342","Phascolarctos cinereus",162602.061078027,5878322.85247523
"8343","Phascolarctos cinereus",244649.351470436,5825250.65711241
"8344","Phascolarctos cinereus",22635.6576108973,5776794.49927458
"8345","Phascolarctos cinereus",400761.977388,5888834.98047826
"8346","Phascolarctos cinereus",286489.260203579,5850380.33817914
"8347","Phascolarctos cinereus",355361.890401694,5883935.16649896
"8348","Phascolarctos cinereus",326662.458748525,5752735.65800961
"8349","Phascolarctos cinereus",6997.539029832,5773069.49543064
"8350","Phascolarctos cinereus",427361.956902141,5988535.08327091
"8351","Phascolarctos cinereus",540804.807404925,5824708.36840025
"8352","Phascolarctos cinereus",281162.045658212,5858235.01870065
"8353","Phascolarctos cinereus",462762.321888613,5991335.17221935
